,text,label,readability,ARI
61,So did I. She’s clearly grooming herself and behaving in a more masculine manner. Lol when she said she didn’t agree I was like “...you don’t?”,1,88.02,4.3
62,@Molly Rebekah well its a hompohobic comment therefore it sucks,1,69.79,9.0
63,Chloe Faye I mean they are there to hear his story,1,111.07,1.2
64,Certainly herd mentality,1,34.59,14.6
65,Sasha Dumse God accepts everyone.,0,83.32,8.4
66,I would have asked him if he’s watched “but I’m a cheerleader”,1,93.14,4.6
67,I feel so base for that guy! They treated him as if he wasn’t a human just because of who he loved! 🥺,0,102.61,1.0
68,American Lives Matter,1,34.59,9.9
69,....🤔........staged set up for the coming race war... still hilarious though 🤣,1,91.27,10.0
70,The interviewer is HOT!!!,1,50.5,6.5
71,I am so glad that you made your toy!!! I wouldn't have extended my love for science!!! I feel like I don't fit in at school sometimes,0,96.18,1.7
72,How can all lives matter if black lives aren’t?,1,104.64,3.5
73,You are so right and white is a color,1,104.64,-1.9
74,I'm so proud for her,0,117.16,-4.0
75,We are ready meanings black people are ready for anything,1,95.17,6.2
76,What exactly do you want,1,100.24,-0.2
77,She saves lives with her music.,0,99.23,2.0
78,that would be uhhh pure mean yes,1,106.67,-0.6
79,@AtlantisMystic Walker #12894 rly sorry for being so mean......,1,62.34,11.8
80,Santiago Cr but she can move her mouth,1,88.74,0.8
81,Evil? I don’t think so. What a crazy statement to say about her.,1,107.18,0.7
82,All lives should matter.nBut Black Lives Don't seem to Matter.nThat's why there's a Black Lives Matter Movement. nUnderstanding?,1,82.31,10.6
83,@Alex because that's therapy u must know the truth u had,1,94.15,3.8
84,A A house n,1,118.18,-10.1
85,I'm glad Madonna knows there is a market for ORIGINALITY & BRILLIANCE beyond American borders!  Globally. They consider her a legend who once again shakes it up and reinvents herself. Beautiful girl,1,64.2,11.5
86,These kids are amazing,1,92.8,2.9
87,I couldn’t tell if it was a boy or girl,1,103.63,-2.4
88,All Humans matter. Whats with labeling color!!! Dogs matter. Cats matter. Bees matter. Trees matter. Americans matter.,0,62.85,11.1
89,@fivedrock clearly you have no idea who is on the side of status quo.,1,99.57,4.4
90,The return of the Zulus.,1,83.32,-0.2
91,Now let's mention the Black names that fell Victims in the hands of protesters.  The Black Owners protecting their businesses. Who's gonna protest for them? BLM only care when a white cop is involved but turn the blind eye when they are the ones responsible. FACTS!,1,93.64,6.7
92,Yes all lives  matter. Its simple to  understand.  its not only that if the political parties have a common interest in their own country,1,88.74,4.4
93,@Generic Human shut eup,1,50.5,4.1
94,BTS KIM NAMJOON China is trying to pass a national anthem bill which criminalises people who makes fun of it. It also mandates that the Chinese anthem is taught in school. This stifles their freedoms.,1,84.98,6.7
95,Talk about white privillege while black people get love from everybody while white people get booed,1,89.08,11.3
96,I don’t even get why whites even support BLM they ain’t even black,1,100.58,4.6
97,The things that she has done are magnificent.She has personally flewn to Mexico to buy her friend some medicine for AIDS.This is not your everyday type of woman.Shes so intelligent too.I don’t think she’s appreciated enough.,0,72.63,6.9
98,That one little girl is woke!,1,116.15,0.4
99,THE MAJORITY OF RACISTS IN THIS COUNTRY ARE BLACK!  EMPOWER BY RACIAL LEFT DEMOCRATS.,1,72.83,5.9
100,FBLM! TAG THE BATHROOM WALLS AROUND THE WORLD!,1,105.66,5.6
101,Only one race the Human Race,0,99.23,-0.5
102,There is no such thing as god,1,115.13,-2.5
103,But many news media outlets would paint you as the villain.,1,85.69,5.0
104,I don't see what the big fuss is.  Just add the modifier also to your slogan.  Black Lives Also Matter.  If that's not your intent,1,98.92,1.1
105,Could've got some good scrap metal money out of that,1,103.63,3.8
106,ALL LIVES MATTER and to say they don’t is REAL RACISM.,1,94.15,2.9
107,Exactly. They're not fighting for equality,1,73.85,10.6
108,Juan Williams should be ejected into space..,1,64.37,7.6
109,when i read peaceful i spat my coffee out lol,1,95.17,0.5
110,Sheriff David Clarke is the embodiment of what I consider to be a true man. He has my respect.,1,78.75,2.2
111,That's wat they want,1,118.18,0.6
112,David Clark is the absolute worst. Thank you for leaving Milwaukee,1,74.35,5.3
113,Three against one.  Ya that's fair and balanced......LOL  Hannity I can't take seriously his show is better than SNL.  It's a clown show.,1,90.97,4.4
114,If they had blacks who can speak Chinese.,1,114.12,2.6
115,ALL lives matter. Period. Nuff said. Peace,1,89.75,6.3
116,@Srbin Srbin 🤣 Why don't you stick to European Afairs and don't worry about what I like and dislike 🤔. Last time I checked in was Caucasians from Europe that brought many people from Africa.  We did not ask to come here. Why don't you go to Mexico.,1,102.1,4.8
117,Ugh God how I hate that one girl cause of everything she said... „I don't agree with homosexuality” what's going on with her mind,1,93.14,5.4
118,Right shes trying to hide it,1,99.23,-0.5
119,My mom teaches high school physics,0,99.23,4.3
120,@Breanna Himmelright but madonna wants to be young. She reminds me of Meryl Streep in the movie death becomes her,1,95.17,5.7
121,The bible doesn't condemn all judging John 7,1,88.74,4.4
122,People need to blame themselves for their own selfish bad behaviour.,0,85.69,8.9
123,This comment should have more likes,1,99.23,5.1
124,But trump has helped black people so much,1,114.12,2.6
125,Only Juan doesn't make sense here. The reason is that he and most leftists are ideologically possessed. It doesn't matter how illogical or awkward their position might be,1,62.04,7.3
126,@Provocateur no he can't,1,92.8,5.3
127,@EseKanayo2 threatend by who exactly?the black community suffers from mostly black on black crimes yet there's no riots about that.,1,86.71,9.9
128,a woman who dresses with man clothes and don't agree with homosexuality. ok thats coherent lol,1,80.28,5.8
129,@Riley DavisnMy book? I have several. What do you mean?,1,68.13,1.9
130,Eris Bell Being tall wasn’t a choice,1,89.75,2.3
131,Bernie fan here.  God I'm so disappointed in his response.  I swear I fuck in hate the black lives matter movement.,1,89.75,2.9
132,Why does she sound so tired and frail and weak nowwadays?? I know she's older and is likely tired with raising all those kids,1,110.06,4.6
133,@Toxic Sheeple yes you are,1,100.24,1.8
134,Perhaps the star of david or merkabah,1,81.29,2.9
135,He s just a hero ...that s inspirational,1,75.88,0.0
136,the person in the burgundy doesn't agree with homosexuality but looks the gayest lmao. not to be rude,1,79.26,5.1
137,any group that reinforces who you must be; who one is deserves such devotion.  Madonna is really a wonderful woman to some people,0,85.18,6.0
138,He's the man,1,119.19,-4.3
139,shameful behaviour. the police should have acted...oh wait...,1,63.36,14.4
140,Sheriff and Larry/  Black on the outside white on the inside .  Sheriff and  Larry . Bending over for Trump .,1,90.77,4.1
141,I can see the reasoning for why it might be inconsiderate to say ‘All lives matter’ with what’s happened and everything surrounding that,1,65.05,13.4
142,U guys are yelling that Annie is probably a lesbian...nnnnnnnnI swear for a sec it thought she was a boy🤣🤣🤣,1,86.71,4.3
143,@Skyfule Mess weLL aLwAyS sAvE tHe DaY,1,89.75,3.6
144,This made me cry. So many things in contemporary Christian culture are such a horrid distortion of what Christianity is meant to be. What that boy said about choosing to love? That’s what Christianity is about,0,79.26,5.8
145,It's gone full circle like an Ouroboros for these SJWs.,1,112.09,5.2
146,That SHERIFF for President !!!!!,1,50.5,13.5
147,I just wasted 7 min watching people discuss which lives matter and how to say it. It’s just a distraction from the reality that anti black racism is not common place in America. Why should I take anyone who can’t see past that seriously,1,81.93,6.6
148,He’ll yes. Whoop Whoop,1,118.18,2.9
149,Should have broken and destroyed the statue before throwing it down the river,1,92.12,8.6
150,So pulling a statue out is going to re-write the past is it? Mindless fools. It would be different if there still was slavery in Bristol. But the present has moved on from the past and these moronic individuals need to also.,1,82.65,6.1
151,Democrats horring for votes!!!! That is the truth right in your face!!!!!,1,99.23,5.9
152,I have never understood homophobes like it’s just hatred not justified by an old book that you worship and interpret literally it’s gross,1,56.59,13.6
153,Capitalism is the idea of creating a product that solves a problem. You cannot solve that problem if you do not create a decipherable marketable label for the consumer who has that problem. It totally sees colour and race,1,75.2,7.2
154,have you ever met anyone who was LGBTnme,1,80.28,2.0
155,Do black lives in the womb matter?,1,106.67,0.9
156,This simple three man panel could get together with Donald Trump and completely solve this age-old problem at hand. (They all have experiences,1,76.72,8.9
157,Nothing else matters~Metallica,1,34.59,24.0
158,Senator Sanders is for socialism? Let's suspend his US citizenship,1,57.94,7.9
159,Taking a knee is pretty appropriate coming from democrats and SJW's...nPandering and placating without questioning the motives and agenda from BLM is dangerous.nThere is nothing more dangerous than sincere ignorance and conscientious stupidityn- Martin Luther King Jr.,1,42.07,14.3
160,Jason So who do you think the Democrats are?,1,104.64,1.9
161,@Al C When women were fighting for their rights there were men screaming,1,92.12,6.8
162,It’s Like Martin Luther King Junior fight for his poeple and even he died becuse they didint want him...and know..this world is changing...And We Pray For all Poeple and black Poeple And White Poeple to be more nicer,1,83.96,7.1
163,I am so glad that Clark is no longer in power of anything.,1,100.58,1.7
164,All Lives do matter and we can do a much better job of displaying this and encouraging one another to know our worth. nLet us continue to fight to end human trafficking and support every survivor. nTo support my fundraising efforts with the Araminta Race Against Traffick,1,64.0,9.0
165,because they recieve trauma that leads to mental illness and has a high suicide rate,1,81.63,8.1
166,Did Mahomet own slaves. If so the reading of Koran should be forbidden.nWhat about Krishna and Rama? They were rulers when slavery was rampant.,1,90.77,5.1
167,I hope Satan comes to earth to kill everyone,1,104.64,1.9
168,So all lives don’t matter? Just black lives. Yea that makes a lot of sense,1,108.7,-0.2
169,They want to Make africa out of america,1,105.66,1.4
170,BBC Censored if you support BLM you’re just supporting democracies all lives matter,1,66.74,10.8
171,Say Cheese Do not make hasty conclusions! You do not know me well in order to make such statements! They protect their rights how?,1,97.2,3.6
172,You are still young maybe you can try,0,114.12,0.2
173,your local hufflepuff imagine thinking someone’s sexual orientation based on what they wear,1,58.28,13.7
174,Max O'Brian I can’t seem to find where anyone asked for your opinion?,1,92.12,5.7
175,They stood by and watched and their mayor is pleased with them.,1,101.6,5.0
176,Awesome! Not only that you've created (engineered,0,64.37,11.0
177,i've never heard a more perfect answer to the question than that sheriff's.. well said sir and thank you for your service!,1,85.69,5.7
178,People are gettin mad because a statue of a slave trader was taken down #realracist,1,90.09,7.7
179,kay b thatvright white lives matter cops matter,1,80.28,6.1
180,Thank you someone had to say it,1,115.13,-1.2
181,@Maggie Paul I don't think you actually read my statement. I didn't say you should now change the slogan from blm to alm. it's mildly annoying to say the least,1,86.71,4.0
182,I never understood racism. I grew up thinking what’s the problem with with different colored humans they’re literally the same but different colors.nTo this day I still don’t know why people think 1 race of humans is better than another race when they’re exactly species,0,64.71,9.7
183,White lives don't matter? Than black lives don't matter either. Understand? You either are racist or you're not. Own it.,1,90.05,5.7
184,the bible is a book written by men,1,105.66,-1.6
185,We all bleed the same...,0,117.16,-0.2
186,She is wearing the monogram of Catherine the Great ( E with II through it with a crown above),1,87.05,7.2
187,Im gonna tell you this most are,1,115.13,-1.2
188,Bruh these LGBT people gotta chill with this little girl,1,112.09,5.7
189,Injustice anywhere is a threat to justice everywherenBLM when people mention chineese slavesn.................,1,66.74,20.6
190,“That would be just pure mean” aw love this kiddo she made my day <3,1,107.01,3.0
191,David Clarke needs to get into politics. This is turning into the Brexit debate. If you disagree with me you do not understand sophisticated politics,1,71.51,6.3
192,His barber is Tay Keith,1,117.16,-1.1
193,@Flora Fauna Leftists have already removed history teaching from schools and replaced it with their agenda-driven pathology.  Im a 10th grader who see's it first hand,1,83.66,10.4
194,Do you know how many times in history these descriptions have happened?  Do you think this is worse than the holocaust?  The Bible gives guidance that we won't know the day and hour but the end will come like a thief in the night.  Don't quote scripture to predict when you think the world will end.  Just ask Hal Lindsey.   People have been predicting the end with scripture for the last 2000 years.,1,92.93,5.4
195,skinny dicc  booing at “all lives matter” and “white lives matter” but saying y’all want equality doesn’t make sense,1,77.57,12.1
196,“I don’t agree with home-sexual-ality”,1,66.4,13.1
197,@Marco Arreola Exactly.,1,59.97,13.0
198,@xBrownskinAngelx does she need to repeat it? What didn't you understand?,1,65.89,8.3
199,KG2018 Dave Chappell story of fame,1,99.23,4.3
200,Good luck! InshAllah it'll be a very rewarding journey!,1,62.34,7.7
201,I agree that there are some bad cops yes I'll admit it. But most are good. I agree George shouldn't have been killed but it seems the cop just over estimated his strength.,0,102.61,3.9
202,Her physical exterior appears that way to my judgement. I know that alone is not sufficient.,1,63.36,5.2
203,Why are these people even here?,1,116.15,2.0
204,thanks Debbie for  being an inspiration,1,56.93,7.5
205,so censored so if you even hint of ppl from the middle east that owns this channel u get censored!,1,85.02,7.2
206,How bout we stop saying black lives matter or all lives matter let's just all agree LIVES MATTER idc if you a frog a human a purple dude in banana costume,1,73.85,12.9
207,@Mark Slima did ya know these 'involuntary slaves',1,80.28,7.9
208,What do the amarican people mis in their heads that when an important problem like black lives matter is spoken about they change it into all lives matter and than they do not realise how big of an insult that is for the black people and their problems of the last 300 years. For the next 300 years it are the black people who have the saying in the world thats just fair. And I am a white male.,1,78.62,10.6
209,Love the police man too good too honest,1,88.74,1.4
210,Are you black? No. Do you know how we feel no. Get a grip brainless ashly,1,108.4,-1.8
211,Some One me to,1,118.18,-6.6
212,Blm we never said only blm y’all twisted af,1,96.18,1.4
213,@mtgamerguy - it is a choice just admit it... I hope you've realized how dumb what you just said really is,1,95.17,3.8
214,She is forever doing what keeps her in the public eye.,1,94.15,2.9
215,@joseph matthew Jesus is real .I know Him .He brought me back from deaf,1,109.0,0.4
216,how are you now,1,118.18,-5.4
217,owen eiffel did you watch the video??,1,106.67,2.9
218,David McDonial thats a shame. They way you react tells me other wise. But ur not the only person in the world who lies to themselfs. Its common. I forgive you,1,80.48,1.9
219,@Planet 9 nEspecially when they are ACTUALLY doing those things,1,69.79,9.0
220,The sheriff spoke the truth.,1,100.24,3.7
221,a kid in the closet playing hide n go seek and then is coming out of it?  How the world should be.,1,102.61,0.3
222,We never said all lives didn't matter. We are saying all lives matter but ours. The country was founded on pure racism and power. So what....we should turn the other check. And don't come with that. What about black on black crime bs. Because I have never taken the live of a black man. Or any man for that matter. Most whites live their life in a bubble. Completely numb to wants going outside of your own white skin.,1,97.3,2.8
223,@Jessica Walker what did Jesus say about homosexuality?,1,37.98,10.8
224,Oh just shut up. All lives will matter when Black lives will matter!!,1,98.72,2.4
225,White people aren't dying Bc of police brutality and racial profiling,1,60.31,9.3
226,@HipHop-TV.Blogspot That is their secret I can neither confirm or deny but what I can say is with eternal/long life comes many a heart break & suffering.nnProof,1,62.01,15.8
227,I'm crossing my fingers that they all wake up tomorrow with a bit of a cough.,1,80.62,4.8
228,Saying black lives matter is a Racist,1,81.29,2.9
229,I spent half the video trying to figure out how this man was a conversion therapist in any way and then I read the title again,1,78.93,9.8
230,you have encouraged me thank you for sharing,0,80.28,4.4
231,@t0bias busterud as long as this nation remains Godless,1,62.34,7.7
232,@LeslieRené actually I think he/she meant or vs are.,1,87.72,6.1
233,My gaydar went off as soon as she came on screen,1,102.61,0.3
234,THATS MY WORD RABBLE ROUSER,1,117.16,2.7
235,I wish that all of them know that there name is said every single day! nn#JusticeForGeorgeFloyd,1,89.08,10.1
236,AGREE WHAT PEOPLE FEEL.  YOU NEED HUSBAND AND WIFE IN LOVE TO RAISE A CHILD OR CHILDREN,1,105.15,2.2
237,@blusafe1 many are agrresive.,1,92.8,11.2
238,“that would be just pure mean”,1,116.15,1.2
239,Because it washing a good thing,1,90.77,2.0
240,and now you have AIDS?,1,117.16,-2.1
241,@Morgan Taylor When did I ever reply to someone not doing that?,1,93.14,5.0
242,can I have an african race based scholarship then if african americans have been so repressed??? If they cant say all lives matter they are planning genocide again,1,74.19,8.5
243,Aren't we all human? Why do you divide people into races? Eugenics?,1,82.31,3.6
244,Asian American has the highest median household income so no,1,52.87,7.6
245,america is slowly turning in to idiocracy lol,1,88.74,4.9
246,my first thought was 'annie is a weird name for a boy' because i seriously thought that was a boy,1,85.02,6.9
247,marquez shoulders this is the weakest point I have ever seen. Also you just presented what kind of level and person you are.,1,93.64,5.2
248,Actually there have been very few cases of it working...,1,86.71,5.7
249,We should not have statues of racists in our country,1,95.17,3.8
250,@Jay Tops check out Owen Benjamin. The earth can be discussed bitnot homosexuality or abortion. Didn't Jesus walk through a wall,1,72.83,6.3
251,Now it is time to focus on,1,106.67,-4.6
252,ALL LIVES MATTER...IM FROM THE SEYCHELLES WE HAVE DIFFERENT TYPE OF PEOPLE,0,90.77,6.3
253,Dems dont listen or arent smart enough to undrtstand truth.,1,103.63,7.1
254,Can u make a machine that cooks delicious food so u don't have to,1,91.11,3.0
255,DefEnd the Police they defEnd all lives!!!!!!!!,1,81.29,9.7
256,Love Sheriff Clark!,1,93.81,6.8
257,@Rick Gross you realize that simply not liking someone for their personality vs not liking someone for something like race,1,68.1,12.8
258,LilaThe Real that’s underrated,1,75.88,12.4
259,The thing is we’re not gonna get anywhere saying BLACK lives matter,1,84.68,6.6
260,A great german singer wrote a Song about that  check it out on YouTube  Black lives Matter  Amadeus,1,87.05,8.2
261,Unfortunately life dont matter anymore,1,32.56,13.1
262,Please read through my comments. I have said numerous times that we aren't under the laws of Moses,1,96.18,4.3
263,Jessica Walker SO THEN GOD IS SHALLOW!!! I mean I don’t wanna offend you or anything but just because god said it doesn’t mean it’s okay,1,83.66,5.2
264,Sam Garcia go look up what's going on in Uber and then come back to me,1,97.54,2.8
265,Sapphic Keira sAME,1,119.19,5.2
266,cops here in Canada don't attack balck people but in the past they attack gays,1,90.09,6.2
267,Guy Ritchie said she was a drama queen!  Go figure! haha,1,94.15,3.3
268,It’s not about the hair lol.,1,116.15,-0.5
269,Mia Lea Kahn Oh so you want every human being to support you guys. Wow no wonder y’all banned.,1,95.67,2.2
270,Did the short-haired lesbian just say “i don’t agree with like homosexuality”?  Im shook,1,65.73,10.5
271,Some One SCREAMING,1,93.81,5.2
272,And our future rests on these kids? Lid has mercy.,1,108.7,0.4
273,Pray for what?,1,119.19,-1.2
274,@BenjoBanjoo Is that so ? England aided in the biafra war in the 1960s and helped in the genocide of the igbo people to protect their oil investments in nigeria. What about that? Stay out of Africa,1,87.72,4.1
275,ALL lives mattering was NEVER A QUESTION......that is why it is annoying. Black communities feel that their lives don't matter that is why it was created. so responding with black lives with all lives matter is implying that you don't stand with the black community.,1,76.93,7.4
276,I agree that it is probably harder for them but,1,103.63,1.5
277,Eternal life’s matter.,1,59.97,11.5
278,Ps there is a better rubttle apon response of the final 20s,1,84.68,3.4
279,I cant believe what i am seeing the police running away and getting beaten with sticks and bottles what a joke this is embarrassing and this has done no good for black people it has damaged there reputation this had made them look violent and aggressive and now even more people will be racist towards them and also will dislike them as they have also caused a 2nd wave of coronavirus which businesses and loved ones cant meet up now till 2021 all because of the protests,1,17.01,42.9
280,@Hi Qwerty it IS true.nEvil main stream media will be judged by God and so will the Hatred of BLM and antifa.,1,102.61,2.9
281,+akinadownhillace salary of nurses- $65,1,66.4,14.0
282,@jzizzles dont worry I'm Christian and I'm both trans and bisexual so yeah that's a thing like God said men shall not lay with man but that was mistranslated its actually man shall not lay with boy meaning pedophilia so homosexuality is not in the bible and religion shouldn't stop people from loving who they love yk,0,30.54,28.6
283,@Ernest Bennett and white women,1,66.4,6.5
284,Anyone that votes Democrat.....That person is a person that wants genocide of the black American people!,1,63.36,8.8
285,When the debate is lost slander becomes the tool of the losers. Just know you exposed this for the world to see. I'm out.,1,101.6,3.8
286,This was so inspiring to me.Nowadays many people doubt about women becoming engineers.But I’m sure next generation is going to make a change.I’m from Argentina and next year I’ll finish high school and I will study environmental engineering.,0,61.83,8.6
287,Also; your research sources are invalid,1,73.85,8.3
288,If I ever have daughters I will buy them your toys,1,102.61,1.2
289,He's got his uniform squared away,1,99.23,3.6
290,You are sheep,1,119.19,-2.7
291,annie seemed like she was bi/lesbian/pan to me for some reason.,1,68.77,6.8
292,She’s probably closeted and her saying she goes to church is a big giveaway her parents probably watch  and she didn’t want to say it,1,79.94,11.4
293,Omg I love the sheriff and elder... Juan used to be good but he's become an a**,1,96.69,0.3
294,The council did not fail to at the council loves slave traders,1,93.14,4.6
295,Around the World - Shows Amsterdam,1,66.4,8.4
296,@Shayne Berg No that wouldn't work,1,99.23,4.3
297,Yes let us not have statues of well-known racists like Hitler on the streets,1,99.57,6.8
298,Faizal Alladina To ne honest i know one of her session musicians  in the states and he said she would regularly turn up with surgery tape etc etc at rehearsals actually have botox specialist visit the recording studio their you have it,1,37.31,21.2
299,@M the bible is badly translated now it is,1,104.64,0.9
300,B.L.M is Black Supremacy Movement and officialy awesome.,1,37.98,11.4
301,Really?  Shes the most famous female Artist and biggest selling in music history.  She's sincere and sweet and genuine here.  Stay bitter,1,85.69,8.3
302,Sigh... So you are the problem then?,1,106.67,2.3
303,Agartha lartey what?,1,119.19,8.3
304,@Iroor tell me why you don't hear people chanting All lives matter when it comes to blue lives matter? I'll tell you why,1,102.1,4.4
305,My mom's side of the family is strongly inclined towards numbers. I got the bug for it too but I turned to humanities out of pettiness. I feel like going back to school though,1,85.39,3.9
306,We were all made in God’s image. All lives matter!!!,0,100.24,1.3
307,kennedy mensah ALM is anti-BLM because BLM is a hate movement lead by self admitted marxist activists.,1,62.68,10.9
308,Who is she,1,119.19,-7.5
309,@Jay Tops Nobel peace prize nBut once again don't take God's love and return hate or Madonna because you'll end up pushing and living the dnc the party of death line. Where they herd the masses and make them unstable sinners to exploit nYouTube channel franciscanfriars nnTrump is not liked but it's a sin to vote dnc and cardinals had millions pray the rosary for Hilliary s defeat. nnMadonna recently looked different. Swearing and acting like a revolutionary. How is her family and husband ? Anyone know. Jesus Christ or Madonna. Choose. Can't have both sodomites,1,74.59,8.7
310,She so brave!! Their are those who judge the less fortunate,1,99.73,2.3
311,I will tell my children stories about this year,1,96.18,3.5
312,Someone didn't watch the video,1,100.24,5.6
313,How well they took this,1,117.16,-1.1
314,“Injustice anywhere is a threat to justice everywhere.” ~Martin Luther King Jr.,0,82.31,8.3
315,@Jack Parsons  is that your nickname??,1,90.77,6.7
316,@wow i am lost  WE DIDN'T CHOOSE TO BE BLACK.........WE JUST GOT LUCKY!!!,1,98.72,3.6
317,I don't agree with homosexual....ality... lol the fuq u trying to say,1,82.31,4.3
318,Lol poor girl is getting judged on her looks left and right,1,101.6,3.4
319,@Aquariuz may I ask why?,1,83.32,-0.2
320,What did the important comments say?,1,73.85,5.9
321,J T your nuts! What planet do you live on?? Clearly you are clueless about her.,1,108.4,0.1
322,For once Juan wasn't the worst.,1,99.23,2.0
